"resp_nr","voted","fair_election","correct_election","secure_election","econ_own","econ_accountab"
685,"did vote",4,2,3,1,5
686,"did not vote",1,3,1,4,1
687,"did vote",3,3,5,4,2
688,"did vote",2,1,3,2,3
689,"did vote",1,1,1,2,2
690,"did vote",1,1,1,2,3
691,"did vote",1,1,1,2,3
692,"did vote",3,2,2,3,4
693,"did vote",2,NA,NA,3,1
694,"did vote",5,3,1,3,3
695,"did vote",3,2,2,4,1
696,"did vote",1,2,3,2,3
697,"did vote",3,3,1,3,2
698,"did vote",2,2,2,3,2
699,"did not vote",2,2,2,3,3
700,"did vote",1,1,1,2,4
701,"did vote",1,1,1,2,NA
702,"did vote",1,1,2,2,3
703,NA,1,1,1,3,4
704,"did vote",1,1,2,2,3
705,"did vote",2,1,1,2,3
706,"did not vote",4,2,2,3,NA
707,"did vote",1,1,1,3,3
708,"did vote",2,1,1,2,4
710,"did vote",3,2,2,3,2
711,"did vote",2,1,1,4,3
712,"did vote",3,2,2,3,2
713,"did vote",3,3,4,3,2
714,"did vote",3,3,2,3,4
715,"did vote",1,1,1,3,3
716,"did vote",3,3,1,3,4
717,"did vote",3,3,2,2,3
718,"did vote",2,2,2,2,3
719,"did vote",5,5,1,2,2
720,"did vote",1,1,1,1,4
721,"did vote",2,1,1,1,5
722,"did vote",3,1,2,1,4
725,"did vote",5,1,1,2,1
726,"did vote",2,2,2,2,4
727,"did vote",2,1,1,1,3
728,"did vote",2,1,1,2,3
729,"did vote",2,1,1,2,2
730,"did vote",3,2,1,2,4
731,"did vote",4,4,2,2,2
732,"did vote",5,1,1,2,4
733,"did vote",1,2,1,2,5
734,"did vote",1,1,1,2,3
735,"did vote",5,2,3,2,5
736,"did vote",3,2,2,3,1
737,"did vote",1,1,1,2,5
738,"did vote",1,2,1,3,2
740,"did vote",2,2,2,2,5
741,"did vote",1,1,1,4,2
742,"did vote",1,1,1,2,5
743,"did vote",1,1,1,1,3
744,"did vote",1,1,1,2,3
745,"did vote",1,1,1,3,5
746,"did vote",2,2,2,2,1
747,"did vote",2,1,1,1,3
748,"did vote",1,1,1,3,2
749,"did vote",1,1,1,3,3
750,"did vote",1,1,2,2,5
751,"did vote",1,1,3,3,1
752,"did vote",1,1,1,2,3
753,"did vote",NA,1,1,2,NA
754,"did vote",3,1,1,2,3
756,"did vote",3,1,1,1,3
758,NA,1,2,1,2,3
759,NA,2,2,1,1,2
760,"did vote",1,2,1,1,5
761,"did vote",2,1,1,3,4
762,"did vote",3,3,2,3,3
764,"did vote",3,1,2,3,3
766,"did vote",2,2,1,1,5
767,"did vote",2,2,1,1,5
768,"did vote",4,5,5,2,4
769,"did vote",1,1,1,2,3
770,"did vote",3,1,1,2,5
771,"did vote",1,1,1,1,3
772,"did vote",1,1,1,1,5
773,"did not vote",2,2,2,4,2
775,"did vote",1,1,1,2,4
776,"did vote",1,1,1,2,3
777,"did vote",1,1,1,1,3
778,"did vote",5,2,2,2,4
779,"did vote",2,1,1,2,2
780,"did vote",2,2,3,2,2
781,"did vote",1,1,1,2,3
782,"did vote",2,2,1,2,3
784,"did vote",2,1,1,2,4
785,"did vote",1,1,1,2,3
786,"did vote",1,1,1,2,4
787,"did vote",2,2,1,1,4
788,"did vote",2,1,1,1,5
789,"did vote",2,1,1,2,2
790,"did vote",1,1,1,2,3
791,"did vote",1,1,1,2,5
792,"did vote",1,1,1,2,4
793,"did vote",3,1,1,2,4
794,"did vote",1,1,1,2,4
795,"did vote",1,1,1,2,5
797,"did vote",1,1,1,1,5
799,"did vote",4,2,2,3,1
800,"did vote",2,1,1,2,3
801,"did vote",1,1,1,5,5
802,"did vote",2,2,1,3,2
803,"did vote",2,1,1,2,5
804,"did vote",1,1,1,1,3
805,"did vote",1,1,2,2,3
806,"did vote",1,1,1,3,2
807,"did vote",1,1,1,2,NA
808,"did vote",2,1,2,2,4
809,"did vote",1,1,1,2,5
811,"did vote",1,1,1,2,5
812,"did vote",1,1,1,1,5
813,"did vote",3,4,5,2,2
814,"did vote",1,1,1,3,5
815,"did vote",1,2,1,4,5
816,"did vote",2,3,2,1,5
817,"did vote",1,1,1,2,5
818,"did vote",1,1,1,2,4
819,"did not vote",5,1,4,4,3
820,"did vote",4,3,3,5,1
822,"did vote",2,1,1,3,5
823,"did vote",5,NA,2,2,2
824,"did vote",1,2,1,2,5
825,"did vote",2,3,1,2,1
826,"did vote",2,2,1,2,2
827,"did vote",4,1,1,4,2
828,"did vote",1,1,2,2,1
829,"did vote",2,1,1,4,2
830,"did vote",1,2,1,1,5
832,"did vote",2,1,1,1,5
833,"did vote",3,2,2,2,3
834,"did not vote",3,3,2,2,3
835,"did vote",2,1,1,1,5
836,"did vote",3,3,3,3,2
837,"did vote",3,5,5,2,4
838,"did vote",1,2,2,1,3
839,"did vote",1,1,1,1,3
840,"did vote",2,2,2,2,4
841,"did vote",2,2,3,3,3
842,"did vote",1,1,1,2,5
843,"did vote",1,3,2,3,1
845,"did vote",1,1,1,2,1
847,"did vote",4,1,1,4,2
848,"did vote",2,1,1,2,4
849,"did vote",2,2,2,1,2
850,"did vote",1,1,1,2,5
851,"did vote",1,1,1,2,3
853,"did vote",1,1,1,2,3
854,"did vote",4,1,1,1,4
855,"did vote",1,1,1,2,3
856,"did vote",1,2,2,1,2
857,"did vote",NA,NA,NA,3,2
858,"did vote",2,1,1,2,2
859,"did vote",4,1,1,2,4
862,"did vote",1,1,1,4,2
864,"did vote",3,2,3,3,2
865,"did vote",2,2,2,2,5
866,"did vote",1,1,2,2,2
867,"did vote",2,1,NA,2,5
868,"did vote",2,2,3,2,3
869,"did vote",2,3,3,3,3
870,"did vote",1,1,1,1,4
871,"did vote",1,3,2,2,5
872,"did vote",1,2,1,2,4
873,"did vote",2,1,1,1,5
874,"did vote",1,1,1,1,2
875,"did vote",3,5,5,2,3
876,"did vote",2,2,3,3,1
877,"did vote",1,1,1,3,4
878,"did not vote",5,NA,NA,4,1
879,"did vote",1,2,1,2,2
880,"did vote",1,1,3,3,2
881,NA,1,2,2,3,NA
882,"did vote",3,2,1,4,5
883,"did vote",1,3,2,2,4
884,"did vote",1,1,1,2,5
885,"did vote",2,2,2,2,5
886,"did vote",4,1,4,2,4
887,"did vote",1,1,1,2,3
888,"did vote",2,1,1,2,5
889,"did vote",1,1,1,2,3
890,"did vote",1,1,1,2,2
891,"did vote",1,1,1,1,5
892,"did vote",2,2,2,3,4
895,"did vote",2,1,1,1,5
896,"did vote",3,1,1,2,2
898,"did vote",1,1,1,2,3
899,"did vote",1,2,1,2,5
900,"did vote",2,2,1,3,2
901,"did vote",1,1,1,2,NA
902,"did vote",2,2,3,2,5
903,"did vote",2,1,2,2,3
904,"did vote",1,1,1,2,2
905,NA,1,2,3,3,2
906,"did vote",1,1,1,2,4
907,"did vote",1,1,1,2,2
908,"did vote",1,1,1,2,5
910,"did vote",1,5,5,2,2
911,"did vote",1,1,2,2,4
912,"did vote",4,3,2,3,5
913,"did vote",2,1,1,2,5
